Mobile_Model;Brand;Operating_System;Storage_Size;Color
OnePlus 11R;OnePlus;Android;128GB;Blue
Poco X6 Pro;Xiaomi;Android;128GB;Green
Pixel 8a;Google;Android;256GB;Green
Galaxy S25 Ultra;Samsung;Android;64GB;Green
Mi 13T Pro;Xiaomi;Android;64GB;Blue
Xiaomi 14 Ultra;Xiaomi;Android;128GB;Green
iPhone 14;Apple;iOS;256GB;Green
Z Fold 6;Samsung;Android;128GB;Black
Poco X6 Pro;Xiaomi;Android;64GB;Green
iPhone 14 Pro;Apple;iOS;64GB;Green
Pixel 8a;Google;Android;128GB;White
OnePlus 11R;OnePlus;Android;256GB;Green
iPhone 15;Apple;iOS;64GB;Blue
OnePlus 12 Pro;OnePlus;Android;256GB;Red
Mi 13T Pro;Xiaomi;Android;64GB;Black
iPhone 14;Apple;iOS;128GB;White
Pixel 8a;Google;Android;64GB;Red
Poco X6 Pro;Xiaomi;Android;128GB;White
Redmi Note 13;Xiaomi;Android;128GB;Red
Xiaomi 14 Ultra;Xiaomi;Android;64GB;Black
iPhone 14;Apple;iOS;64GB;Green
OnePlus 12 Pro;OnePlus;Android;256GB;Green
iPhone 14 Pro;Apple;iOS;256GB;Blue
Pixel 8a;Google;Android;256GB;Black
Mi 13T Pro;Xiaomi;Android;256GB;White
iPhone 14;Apple;iOS;64GB;White
iPhone 15;Apple;iOS;256GB;Red
Pixel 9 Pro;Google;Android;256GB;White
iPhone 14;Apple;iOS;64GB;Red
Redmi Note 13;Xiaomi;Android;128GB;Green
OnePlus Nord 4;OnePlus;Android;256GB;White
Pixel 9;Google;Android;128GB;White
Pixel 9 Pro;Google;Android;64GB;Blue
Pixel 8a;Google;Android;128GB;Red
iPhone 15;Apple;iOS;128GB;Black
Pixel 8a;Google;Android;256GB;Red
Galaxy S25 Ultra;Samsung;Android;128GB;Red
iPhone 15;Apple;iOS;256GB;Green
Pixel 9 Pro;Google;Android;64GB;Red
Redmi Note 13;Xiaomi;Android;256GB;White
OnePlus 12 Pro;OnePlus;Android;256GB;Black
Pixel 9;Google;Android;64GB;Red
Pixel 9;Google;Android;128GB;Blue
Pixel 9 Pro;Google;Android;64GB;Black
Galaxy A55;Samsung;Android;128GB;Green
iPhone 15;Apple;iOS;256GB;Black
iPhone 15;Apple;iOS;64GB;White
OnePlus 11R;OnePlus;Android;256GB;White
Z Fold 6;Samsung;Android;256GB;Red
iPhone 15 Pro;Apple;iOS;128GB;Blue
Z Fold 6;Samsung;Android;256GB;Green
Galaxy A55;Samsung;Android;128GB;Red
Z Fold 6;Samsung;Android;256GB;White
OnePlus 11R;OnePlus;Android;64GB;Blue
iPhone 15 Pro;Apple;iOS;128GB;Green
iPhone 14;Apple;iOS;256GB;Blue
Pixel 9 Pro;Google;Android;128GB;Green
Galaxy A55;Samsung;Android;128GB;Black
Z Fold 6;Samsung;Android;128GB;Blue
Galaxy S25 Ultra;Samsung;Android;128GB;Blue
OnePlus 11R;OnePlus;Android;128GB;Black
OnePlus 11R;OnePlus;Android;256GB;Black
Poco X6 Pro;Xiaomi;Android;256GB;Red
Pixel 9;Google;Android;128GB;Green
Galaxy S25 Ultra;Samsung;Android;128GB;Green
Galaxy M15;Samsung;Android;64GB;Black
iPhone 14;Apple;iOS;256GB;Red
Galaxy S25 Ultra;Samsung;Android;256GB;Green
iPhone 14 Pro;Apple;iOS;64GB;Black
Redmi Note 13;Xiaomi;Android;64GB;Blue
Pixel 8a;Google;Android;128GB;Black
Pixel 9 Pro;Google;Android;64GB;White
Z Fold 6;Samsung;Android;64GB;Blue
iPhone 14 Pro;Apple;iOS;256GB;Black
Galaxy M15;Samsung;Android;64GB;White
Pixel 9 Pro;Google;Android;128GB;Black
Galaxy S25 Ultra;Samsung;Android;256GB;Black
iPhone 14;Apple;iOS;128GB;Blue
Z Fold 6;Samsung;Android;128GB;Red
OnePlus Nord 4;OnePlus;Android;128GB;Blue
OnePlus 12 Pro;OnePlus;Android;128GB;Blue
OnePlus 11R;OnePlus;Android;128GB;Red
Poco X6 Pro;Xiaomi;Android;128GB;Blue
Mi 13T Pro;Xiaomi;Android;256GB;Red
Z Fold 6;Samsung;Android;128GB;Green
Poco X6 Pro;Xiaomi;Android;64GB;Red
OnePlus 11R;OnePlus;Android;256GB;Blue
Z Fold 6;Samsung;Android;128GB;White
OnePlus 12 Pro;OnePlus;Android;128GB;White
Galaxy A55;Samsung;Android;64GB;Blue
iPhone 14 Pro;Apple;iOS;64GB;White
Mi 13T Pro;Xiaomi;Android;64GB;White
iPhone SE;Apple;iOS;128GB;Red
iPhone 14 Pro;Apple;iOS;256GB;White
iPhone 15 Pro;Apple;iOS;256GB;Red
Pixel 9 Pro;Google;Android;256GB;Blue
OnePlus 11R;OnePlus;Android;256GB;Red
OnePlus 12 Pro;OnePlus;Android;256GB;White
OnePlus 11R;OnePlus;Android;64GB;Black
Galaxy A55;Samsung;Android;128GB;White
Xiaomi 14 Ultra;Xiaomi;Android;128GB;White
Mi 13T Pro;Xiaomi;Android;128GB;Black
Xiaomi 14 Ultra;Xiaomi;Android;64GB;Blue
Pixel 9;Google;Android;128GB;Red
iPhone 15 Pro;Apple;iOS;128GB;Red
iPhone 15 Pro;Apple;iOS;128GB;White
Galaxy M15;Samsung;Android;256GB;Black
iPhone 15;Apple;iOS;64GB;Black
iPhone SE;Apple;iOS;128GB;Green
iPhone SE;Apple;iOS;256GB;Black
iPhone 14;Apple;iOS;256GB;Black
Pixel 9;Google;Android;64GB;Blue
OnePlus Nord 4;OnePlus;Android;64GB;Black
Galaxy S25 Ultra;Samsung;Android;256GB;Red
Galaxy M15;Samsung;Android;256GB;Blue
Mi 13T Pro;Xiaomi;Android;128GB;Green
OnePlus Nord 4;OnePlus;Android;128GB;Green
Pixel 9 Pro;Google;Android;256GB;Black
Redmi Note 13;Xiaomi;Android;256GB;Red
iPhone 15;Apple;iOS;128GB;Blue
Galaxy A55;Samsung;Android;128GB;Blue
Mi 13T Pro;Xiaomi;Android;128GB;White
iPhone 14 Pro;Apple;iOS;128GB;Black
OnePlus 12 Pro;OnePlus;Android;128GB;Black
iPhone 15 Pro;Apple;iOS;256GB;Black
Mi 13T Pro;Xiaomi;Android;128GB;Red
Galaxy S25 Ultra;Samsung;Android;64GB;Red
Pixel 8a;Google;Android;128GB;Green
Pixel 9 Pro;Google;Android;64GB;Green
OnePlus 11R;OnePlus;Android;128GB;White
OnePlus Nord 4;OnePlus;Android;64GB;Blue
Xiaomi 14 Ultra;Xiaomi;Android;64GB;Red
Mi 13T Pro;Xiaomi;Android;128GB;Blue
Galaxy A55;Samsung;Android;64GB;Red
OnePlus Nord 4;OnePlus;Android;128GB;Black
iPhone SE;Apple;iOS;256GB;Blue
Galaxy M15;Samsung;Android;128GB;Blue
Galaxy S25 Ultra;Samsung;Android;256GB;Blue
iPhone 14;Apple;iOS;256GB;White
Galaxy S25 Ultra;Samsung;Android;128GB;White
Pixel 9 Pro;Google;Android;256GB;Green
Galaxy M15;Samsung;Android;256GB;Green
Poco X6 Pro;Xiaomi;Android;256GB;Black
Poco X6 Pro;Xiaomi;Android;128GB;Red
Poco X6 Pro;Xiaomi;Android;64GB;White
Pixel 9;Google;Android;256GB;White
Galaxy M15;Samsung;Android;64GB;Green
Poco X6 Pro;Xiaomi;Android;64GB;Blue
Galaxy M15;Samsung;Android;256GB;Red
Galaxy A55;Samsung;Android;256GB;Red
Pixel 9 Pro;Google;Android;128GB;Red
Galaxy S25 Ultra;Samsung;Android;64GB;Black
iPhone 15;Apple;iOS;128GB;White
iPhone 14;Apple;iOS;128GB;Green
iPhone 14 Pro;Apple;iOS;64GB;Red
Redmi Note 13;Xiaomi;Android;256GB;Black
iPhone 14;Apple;iOS;128GB;Black
OnePlus 11R;OnePlus;Android;64GB;White
Galaxy M15;Samsung;Android;128GB;White
iPhone 15 Pro;Apple;iOS;128GB;Black
iPhone 15 Pro;Apple;iOS;64GB;Black
Pixel 9;Google;Android;256GB;Blue
iPhone SE;Apple;iOS;64GB;Red
OnePlus 12 Pro;OnePlus;Android;64GB;Green
Z Fold 6;Samsung;Android;64GB;Black
iPhone SE;Apple;iOS;64GB;Black
iPhone SE;Apple;iOS;256GB;Green
Xiaomi 14 Ultra;Xiaomi;Android;64GB;White
iPhone 15 Pro;Apple;iOS;256GB;Green
Xiaomi 14 Ultra;Xiaomi;Android;256GB;White
iPhone SE;Apple;iOS;64GB;White
Xiaomi 14 Ultra;Xiaomi;Android;64GB;Green
Pixel 9 Pro;Google;Android;128GB;Blue
OnePlus 12 Pro;OnePlus;Android;64GB;White
iPhone 14 Pro;Apple;iOS;256GB;Green
iPhone 14;Apple;iOS;128GB;Red
iPhone SE;Apple;iOS;128GB;White
Galaxy M15;Samsung;Android;128GB;Green
Mi 13T Pro;Xiaomi;Android;64GB;Green
Xiaomi 14 Ultra;Xiaomi;Android;256GB;Green
Galaxy A55;Samsung;Android;64GB;Black
Pixel 8a;Google;Android;64GB;White
OnePlus 12 Pro;OnePlus;Android;64GB;Red
Galaxy M15;Samsung;Android;256GB;White
iPhone 15;Apple;iOS;64GB;Green
iPhone 15 Pro;Apple;iOS;64GB;Blue
iPhone SE;Apple;iOS;256GB;White
OnePlus 12 Pro;OnePlus;Android;128GB;Green
Galaxy S25 Ultra;Samsung;Android;128GB;Black
iPhone 14 Pro;Apple;iOS;128GB;Red
Galaxy A55;Samsung;Android;64GB;Green
Mi 13T Pro;Xiaomi;Android;256GB;Black
Galaxy M15;Samsung;Android;64GB;Red
